"year","scientificname","group","commonname","total_catch","total_biomass"
2009,"Coryphaenoides rupestris",3,"Roundnose grenadier",9437,0
2009,"Coryphaenoides rupestris",4,"Roundnose grenadier",7,0
2009,"Dalatias licha",3,"Kitefin shark",7,0
2009,"Dicentrarchus labrax",1,"European seabass",652,0
2009,"Dicentrarchus labrax",2,"European seabass",2280,0
2009,"Dicentrarchus labrax",3,"European seabass",4044,29000
2009,"Engraulis encrasicolus",1,"Anchovy",3010,0
2009,"Engraulis encrasicolus",3,"Anchovy",0,21000
2009,"Eutrigla gurnardus",3,"Grey gurnard",0,0
2009,"Gadus morhua",3,"Atlantic Cod",3290,9230
2009,"Gadus morhua",3,"Atlantic cod",54754,214650
2009,"Gadus morhua",4,"Atlantic cod",825127.2,4604750.228
2009,"Galeorhinus galeus",3,"Tope shark",650,0
2009,"Galeus melastomus",1,"Blackmouth dogfish",997,0
2009,"Galeus melastomus",3,"Blackmouth dogfish",0,0
2009,"Glyptocephalus cynoglossus",3,"Witch flounder",1820,0
2009,"Hoplostethus atlanticus",3,"Orange roughy",85,0
2009,"Lamna nasus",3,"Porbeagle shark",333,0
2009,"Lepidorhombus boscii",1,"Fourspotted megrim",1410,5960
2009,"Lepidorhombus spp",4,"Megrim spp",226,0
2009,"Lepidorhombus spp",4,"Megrim spp.",3450,0
2009,"Lepidorhombus whiffiagonis",1,"Megrim",95,708
2009,"Lepidorhombus whiffiagonis",2,"Megrim",18300,80300
2009,"Leucoraja circularis",3,"Sandy ray",77.9,0
2009,"Leucoraja fullonica",3,"Shagreen ray",250,0
2009,"Leucoraja naevus",1,"Cuckoo ray",70.7,0
2009,"Leucoraja naevus",3,"Cuckoo ray",4410,0
2009,"Leucoraja naevus",4,"Cuckoo ray",7.1,0
2009,"Limanda limanda",4,"Dab",41770,0.818
2009,"Lophius budegassa",1,"Black bellied angler",774,0
2009,"Lophius budegassa",2,"Black bellied angler",10400,0
2009,"Lophius piscatorius",1,"White anglerfish",2310,9130
2009,"Lophius piscatorius",2,"White anglerfish",23900,72700
2009,"Macrourus berglax",3,"Roughhead grenadier",274,0
2009,"Mallotus villosus",4,"Capelin",458000,3770000
2009,"Melanogrammus aeglefinus",3,"Haddock",19860,149100
2009,"Melanogrammus aeglefinus",4,"Haddock",339990,2317300
2009,"Merlangius merlangus",1,"Whiting",1360,0
2009,"Merlangius merlangus",3,"Whiting",40460,454130
2009,"Merlangius merlangus",4,"Whiting",1281,4880
2009,"Merluccius merluccius",1,"Hake",22200,24000
2009,"Merluccius merluccius",2,"Hake",68700,127000
2009,"Micromesistius poutassou",3,"Blue whiting",635000,3440000
2009,"Microstomus kitt",3,"Lemon sole",0,0
2009,"Molva dypterygia",3,"Blue ling",4807,0
2009,"Molva dypterygia",4,"Blue ling",4430,0
2009,"Molva molva",3,"Ling",14300,0
2009,"Molva molva",4,"Ling",24100,37700
2009,"Mullus surmuletus",1,"Striped red mullet",2510,0
2009,"Mullus surmuletus",3,"Striped red mullet",1520,0
2009,"Mustelus spp",3,"Smooth-hound",3630,0
2009,"Nephrops norvegicus",2,"Norway lobster",4820,0
2009,"Nephrops norvegicus",3,"Norway lobster",316,0
2009,"Nephrops norvegicus",4,"Norway lobster",66405.4,0
2009,"Pagellus bogaraveo",3,"Red seabream",203,0
2009,"Pagellus bogaraveo",4,"Red seabream",1857,0
2009,"Pandalus borealis",4,"Northern shrimp",39400,34202.04
2009,"Phycis blennoides",3,"Greater forkbeard",1310,0
2009,"Platichthys flesus",4,"European flounder",15032,0
2009,"Pleuronectes platessa",1,"European Plaice",246,0
2009,"Pleuronectes platessa",3,"European Plaice",7891,20160.611
2009,"Pleuronectes platessa",4,"European Plaice",112720,635810.645
2009,"Pollachius pollachius",1,"European pollack",1950,0
2009,"Pollachius pollachius",4,"European pollack",0,0
2009,"Pollachius virens",4,"Pollock",337900,1203000
2009,"Pollachius virens",4,"Pollock or saithe",60300,228000
2009,"Raja brachyura",1,"Blonde ray",164,0
2009,"Raja brachyura",3,"Blonde ray",736,0
2009,"Raja brachyura",4,"Blonde ray",6.4,0
2009,"Raja clavata",1,"Thornback skate",768,0
2009,"Raja clavata",3,"Thornback skate",2376,0
2009,"Raja clavata",4,"Thornback skate",114,0
2009,"Raja microocellata",3,"Smalleyed ray",193.4,0
2009,"Raja montagui",1,"Spotted ray",191,0
2009,"Raja montagui",3,"Spotted ray",1380.3,0
2009,"Raja undulata",3,"Undulate ray",60.4,0
2009,"Reinhardtius hippoglossoides",4,"Greenland halibut",27313000,597000
2009,"Salmo trutta",4,"Sea trout",530,0
2009,"Sardina pilchardus",1,"European pilchard",87700,293000
2009,"Sardina pilchardus",2,"Sardine",20900,0
2009,"Sardina pilchardus",3,"Sardine",10100,0
2009,"Scomber scombrus",2,"Mackerel",738000,4540000
2009,"Scophthalmus maximus",4,"Turbot",120,0
2009,"Scophthalmus rhombus",3,"Brill",0,0
2009,"Scophthalmus rhombus",4,"Brill",91.7,0
2009,"Scyliorhinus canicula",1,"Lesser spotted dogfish",765,0
2009,"Scyliorhinus canicula",2,"Lesser spotted dogfish",2680,0
2009,"Scyliorhinus canicula",3,"Lesser spotted dogfish",5300,0
2009,"Sebastes mentella",4,"Beaked Redfish",77075,0.63
2009,"Sebastes mentella",4,"Deepwater Redfish",10200,1070000
2009,"Sebastes norvegicus",4,"Golden Redfish",45590,494800
2009,"Solea solea",1,"Common sole",649,0
2009,"Solea solea",2,"Common sole",3650,15600
2009,"Solea solea",3,"Common sole",6431,35470
2009,"Solea solea",4,"Common sole",14641,48500
2009,"Sprattus sprattus",3,"Sprat",6630,0
2009,"Sprattus sprattus",4,"Sprat",579200,3420000
2009,"Squalus acanthias",3,"Spurdog",2640,42300
2009,"Squatina squatina",3,"Angel shark",0.9,0
2009,"Trachurus picturatus",4,"Blue jack mackerel",1740,0
2009,"Trachurus trachurus",1,"Horse mackerel",25700,0
2009,"Trachurus trachurus",3,"Horse mackerel",230900,1670000
2009,"Trisopterus esmarkii",4,"Norway pout",45800,391000
2010,"Amblyraja radiata",4,"Starry ray",0,0
2010,"Ammodytes spp",4,"Sand eel",414032,2599000
2010,"Aphanopus carbo",3,"Black scabbardfish",7.01,0
2010,"Argentina silus",3,"Greater silver smelt",25,0
2010,"Argentina silus",4,"Greater silver smelt",51100,0
2010,"Beryx spp",3,"Beryx spp",291,0
2010,"Brosme brosme",3,"Tusk",8140,0
2010,"Brosme brosme",4,"Tusk",22099,40100
2010,"Capros aper",3,"Boarfish",144000,1.7
2010,"Centrophorus squamosus",3,"Leafscale gulper shark",71,0
2010,"Cetorhinus maximus",3,"Basking shark",0,0
2010,"Chelidonichthys cuculus",3,"Red gurnard",4400,0
2010,"Clupea harengus",3,"Herring",231360,5307500
2010,"Clupea harengus",4,"Herring",1805300,11457000
2010,"Coryphaenoides rupestris",3,"Roundnose grenadier",6345,0
2010,"Coryphaenoides rupestris",4,"Roundnose grenadier",827,0
2010,"Dalatias licha",3,"Kitefin shark",2,0
2010,"Dicentrarchus labrax",1,"European seabass",814,0
2010,"Dicentrarchus labrax",2,"European seabass",2230,0
2010,"Dicentrarchus labrax",3,"European seabass",4719,28000
2010,"Engraulis encrasicolus",1,"Anchovy",3210,0
2010,"Engraulis encrasicolus",3,"Anchovy",10300,50300
2010,"Eutrigla gurnardus",3,"Grey gurnard",0,0
2010,"Gadus morhua",3,"Atlantic Cod",3230,17800
2010,"Gadus morhua",3,"Atlantic cod",49350,225670
2010,"Gadus morhua",4,"Atlantic cod",901073,5039660.241
2010,"Galeorhinus galeus",3,"Tope shark",564,0
2010,"Galeus melastomus",1,"Blackmouth dogfish",1340,0
2010,"Galeus melastomus",3,"Blackmouth dogfish",0.44,0
2010,"Glyptocephalus cynoglossus",3,"Witch flounder",1490,0
2010,"Hoplostethus atlanticus",3,"Orange roughy",94,0
2010,"Lamna nasus",3,"Porbeagle shark",20,0
2010,"Lepidorhombus boscii",1,"Fourspotted megrim",1560,6400
2010,"Lepidorhombus spp",4,"Megrim spp",139,0
2010,"Lepidorhombus spp",4,"Megrim spp.",3810,0
2010,"Lepidorhombus whiffiagonis",1,"Megrim",88,906
2010,"Lepidorhombus whiffiagonis",2,"Megrim",20400,70900
2010,"Leucoraja circularis",3,"Sandy ray",51.5,0
2010,"Leucoraja fullonica",3,"Shagreen ray",301,0
2010,"Leucoraja naevus",1,"Cuckoo ray",93.8,0
2010,"Leucoraja naevus",3,"Cuckoo ray",4100,0
2010,"Leucoraja naevus",4,"Cuckoo ray",86.3,0
2010,"Limanda limanda",4,"Dab",51840,1
2010,"Lophius budegassa",1,"Black bellied angler",754,0
2010,"Lophius budegassa",2,"Black bellied angler",10100,0
2010,"Lophius piscatorius",1,"White anglerfish",1620,8930
2010,"Lophius piscatorius",2,"White anglerfish",24800,72200
2010,"Macrourus berglax",3,"Roughhead grenadier",480,0
2010,"Mallotus villosus",4,"Capelin",714000,3500000
2010,"Melanogrammus aeglefinus",3,"Haddock",27990,138140
2010,"Melanogrammus aeglefinus",4,"Haddock",367510,2134300
2010,"Merlangius merlangus",1,"Whiting",2340,0
2010,"Merlangius merlangus",3,"Whiting",47080,525430
2010,"Merlangius merlangus",4,"Whiting",1754,5390
2010,"Merluccius merluccius",1,"Hake",16900,23300
2010,"Merluccius merluccius",2,"Hake",82200,207000
2010,"Micromesistius poutassou",3,"Blue whiting",540000,3710000
2010,"Microstomus kitt",3,"Lemon sole",0,0
2010,"Molva dypterygia",3,"Blue ling",5388,0
2010,"Molva dypterygia",4,"Blue ling",6950,0
2010,"Molva molva",3,"Ling",14100,0
2010,"Molva molva",4,"Ling",27930,42300
2010,"Mullus surmuletus",1,"Striped red mullet",2750,0
2010,"Mullus surmuletus",3,"Striped red mullet",1920,0
2010,"Mustelus spp",3,"Smooth-hound",3660,0
2010,"Nephrops norvegicus",2,"Norway lobster",4670,0
2010,"Nephrops norvegicus",3,"Norway lobster",359,0
2010,"Nephrops norvegicus",4,"Norway lobster",59968.5,0
2010,"Pagellus bogaraveo",3,"Red seabream",281,0
2010,"Pagellus bogaraveo",4,"Red seabream",1278,0
2010,"Pandalus borealis",4,"Northern shrimp",33760,23802.06
2010,"Phycis blennoides",3,"Greater forkbeard",1290,0
2010,"Platichthys flesus",4,"European flounder",16157,0
2010,"Pleuronectes platessa",1,"European Plaice",325,0
2010,"Pleuronectes platessa",3,"European Plaice",11100,24920.842
2010,"Pleuronectes platessa",4,"European Plaice",121960,741200.969
2010,"Pollachius pollachius",1,"European pollack",1780,0
2010,"Pollachius pollachius",4,"European pollack",0,0
2010,"Pollachius virens",4,"Pollock",345900,1220000
2010,"Pollachius virens",4,"Pollock or saithe",53900,229000
2010,"Raja brachyura",1,"Blonde ray",223,0
2010,"Raja brachyura",3,"Blonde ray",1415,0
2010,"Raja brachyura",4,"Blonde ray",10.4,0
2010,"Raja clavata",1,"Thornback skate",725,0
2010,"Raja clavata",3,"Thornback skate",2793,0
2010,"Raja clavata",4,"Thornback skate",120,0
2010,"Raja microocellata",3,"Smalleyed ray",308,0
2010,"Raja montagui",1,"Spotted ray",284,0
2010,"Raja montagui",3,"Spotted ray",1590,0
2010,"Raja undulata",3,"Undulate ray",166,0
2010,"Reinhardtius hippoglossoides",4,"Greenland halibut",26015200,630000
2010,"Salmo trutta",4,"Sea trout",568,0
2010,"Sardina pilchardus",1,"European pilchard",89600,245000
2010,"Sardina pilchardus",2,"Sardine",20100,0
2010,"Sardina pilchardus",3,"Sardine",10200,0
2010,"Scomber scombrus",2,"Mackerel",876000,4780000
2010,"Scophthalmus maximus",4,"Turbot",95,0
2010,"Scophthalmus rhombus",3,"Brill",0,0
2010,"Scophthalmus rhombus",4,"Brill",81.7,0
2010,"Scyliorhinus canicula",1,"Lesser spotted dogfish",858,0
2010,"Scyliorhinus canicula",2,"Lesser spotted dogfish",2100,0
2010,"Scyliorhinus canicula",3,"Lesser spotted dogfish",5440,0
2010,"Sebastes mentella",4,"Beaked Redfish",85710,0.6
2010,"Sebastes mentella",4,"Deepwater Redfish",11900,1040000
2010,"Sebastes norvegicus",4,"Golden Redfish",45380,526200
2010,"Solea solea",1,"Common sole",864,0
2010,"Solea solea",2,"Common sole",3970,17100
2010,"Solea solea",3,"Common sole",5533,33310
2010,"Solea solea",4,"Common sole",13138,58060
2010,"Sprattus sprattus",3,"Sprat",8150,0
2010,"Sprattus sprattus",4,"Sprat",478700,3390000
2010,"Squalus acanthias",3,"Spurdog",0,43600
2010,"Squatina squatina",3,"Angel shark",2.1,0
2010,"Trachurus picturatus",4,"Blue jack mackerel",1730,0
2010,"Trachurus trachurus",1,"Horse mackerel",26600,0
2010,"Trachurus trachurus",3,"Horse mackerel",227200,1590000
2010,"Trisopterus esmarkii",4,"Norway pout",131000,551000
2011,"Amblyraja radiata",4,"Starry ray",0,0
2011,"Ammodytes spp",4,"Sand eel",436881,1183000
2011,"Aphanopus carbo",3,"Black scabbardfish",6.56,0
2011,"Argentina silus",3,"Greater silver smelt",14,0
2011,"Argentina silus",4,"Greater silver smelt",44900,0
2011,"Beryx spp",3,"Beryx spp",342,0
2011,"Brosme brosme",3,"Tusk",6360,0
2011,"Brosme brosme",4,"Tusk",19750,39100
2011,"Capros aper",3,"Boarfish",37100,1.47
2011,"Centrophorus squamosus",3,"Leafscale gulper shark",2,0
2011,"Cetorhinus maximus",3,"Basking shark",4,0
2011,"Chelidonichthys cuculus",3,"Red gurnard",4170,0
2011,"Clupea harengus",3,"Herring",267400,5242700
2011,"Clupea harengus",4,"Herring",1316500,10130000
2011,"Coryphaenoides rupestris",3,"Roundnose grenadier",3275,0
2011,"Coryphaenoides rupestris",4,"Roundnose grenadier",2240,0
2011,"Dalatias licha",3,"Kitefin shark",11,0
2011,"Dicentrarchus labrax",1,"European seabass",777,0
2011,"Dicentrarchus labrax",2,"European seabass",2580,0
2011,"Dicentrarchus labrax",3,"European seabass",3887,25700
2011,"Engraulis encrasicolus",1,"Anchovy",10100,0
2011,"Engraulis encrasicolus",3,"Anchovy",14500,119000
2011,"Eutrigla gurnardus",3,"Grey gurnard",0,0
2011,"Gadus morhua",3,"Atlantic Cod",7960,17100
2011,"Gadus morhua",3,"Atlantic cod",45013,208080
2011,"Gadus morhua",4,"Atlantic cod",1022452,5322650.304
2011,"Galeorhinus galeus",3,"Tope shark",511,0
2011,"Galeus melastomus",1,"Blackmouth dogfish",771,0
2011,"Galeus melastomus",3,"Blackmouth dogfish",0.0457,0
2011,"Glyptocephalus cynoglossus",3,"Witch flounder",1530,0
2011,"Hoplostethus atlanticus",3,"Orange roughy",175,0
2011,"Lamna nasus",3,"Porbeagle shark",17,0
2011,"Lepidorhombus boscii",1,"Fourspotted megrim",1400,6020
2011,"Lepidorhombus spp",4,"Megrim spp",155,0
2011,"Lepidorhombus spp",4,"Megrim spp.",3860,0
2011,"Lepidorhombus whiffiagonis",1,"Megrim",371,1250
2011,"Lepidorhombus whiffiagonis",2,"Megrim",17400,62300
2011,"Leucoraja circularis",3,"Sandy ray",51.5,0
2011,"Leucoraja fullonica",3,"Shagreen ray",283,0
2011,"Leucoraja naevus",1,"Cuckoo ray",91.7,0
2011,"Leucoraja naevus",3,"Cuckoo ray",3920,0
2011,"Leucoraja naevus",4,"Cuckoo ray",151,0
2011,"Limanda limanda",4,"Dab",53170,0.94
2011,"Lophius budegassa",1,"Black bellied angler",1020,0
2011,"Lophius budegassa",2,"Black bellied angler",10300,0
2011,"Lophius piscatorius",1,"White anglerfish",1160,9350
2011,"Lophius piscatorius",2,"White anglerfish",26400,80900
2011,"Macrourus berglax",3,"Roughhead grenadier",322,0
2011,"Mallotus villosus",4,"Capelin",1107000,3710000
2011,"Melanogrammus aeglefinus",3,"Haddock",28053,108500
2011,"Melanogrammus aeglefinus",4,"Haddock",414710,1886420
2011,"Merlangius merlangus",1,"Whiting",2140,0
2011,"Merlangius merlangus",3,"Whiting",43177,459480
2011,"Merlangius merlangus",4,"Whiting",1485,6840
2011,"Merluccius merluccius",1,"Hake",19000,23600
2011,"Merluccius merluccius",2,"Hake",101000,268000
2011,"Micromesistius poutassou",3,"Blue whiting",104000,4340000
2011,"Microstomus kitt",3,"Lemon sole",0,0
2011,"Molva dypterygia",3,"Blue ling",3528,0
2011,"Molva dypterygia",4,"Blue ling",6710,0
2011,"Molva molva",3,"Ling",13100,0
2011,"Molva molva",4,"Ling",24590,47200
2011,"Mullus surmuletus",1,"Striped red mullet",2780,0
2011,"Mullus surmuletus",3,"Striped red mullet",1510,0
2011,"Mustelus spp",3,"Smooth-hound",3710,0
2011,"Nephrops norvegicus",2,"Norway lobster",4820,0
2011,"Nephrops norvegicus",3,"Norway lobster",110,0
2011,"Nephrops norvegicus",4,"Norway lobster",54313,0
2011,"Pagellus bogaraveo",3,"Red seabream",177,0
2011,"Pagellus bogaraveo",4,"Red seabream",1093,0
2011,"Pandalus borealis",4,"Northern shrimp",38720,18301.75
2011,"Phycis blennoides",3,"Greater forkbeard",2200,0
2011,"Platichthys flesus",4,"European flounder",15251,0
2011,"Pleuronectes platessa",1,"European Plaice",282,0
2011,"Pleuronectes platessa",3,"European Plaice",8463,18261.08
2011,"Pleuronectes platessa",4,"European Plaice",123760,758281.29
2011,"Pollachius pollachius",1,"European pollack",2010,0
2011,"Pollachius pollachius",4,"European pollack",0,0
2011,"Pollachius virens",4,"Pollock",288700,1069000
2011,"Pollachius virens",4,"Pollock or saithe",50800,236000
2011,"Raja brachyura",1,"Blonde ray",162,0
2011,"Raja brachyura",3,"Blonde ray",1668,0
2011,"Raja brachyura",4,"Blonde ray",17.5,0
2011,"Raja clavata",1,"Thornback skate",950,0
2011,"Raja clavata",3,"Thornback skate",2918,0
2011,"Raja clavata",4,"Thornback skate",141,0
2011,"Raja microocellata",3,"Smalleyed ray",357.6,0
2011,"Raja montagui",1,"Spotted ray",124,0
2011,"Raja montagui",3,"Spotted ray",1770,0
2011,"Raja undulata",2,"Undulate ray",65,0
2011,"Raja undulata",3,"Undulate ray",1410,0
2011,"Reinhardtius hippoglossoides",4,"Greenland halibut",26416600,656000
2011,"Salmo trutta",4,"Sea trout",350,0
2011,"Sardina pilchardus",1,"European pilchard",80400,175000
2011,"Sardina pilchardus",2,"Sardine",23200,0
2011,"Sardina pilchardus",3,"Sardine",5630,0
2011,"Scomber scombrus",2,"Mackerel",947000,5460000
2011,"Scophthalmus maximus",4,"Turbot",381,0
2011,"Scophthalmus rhombus",3,"Brill",0,0
2011,"Scophthalmus rhombus",4,"Brill",57,0
2011,"Scyliorhinus canicula",1,"Lesser spotted dogfish",916,0
2011,"Scyliorhinus canicula",2,"Lesser spotted dogfish",5730,0
2011,"Scyliorhinus canicula",3,"Lesser spotted dogfish",5750,0
2011,"Sebastes mentella",4,"Beaked Redfish",66614,0.57
2011,"Sebastes mentella",4,"Deepwater Redfish",13000,1120000
2011,"Sebastes norvegicus",4,"Golden Redfish",51150,544500
2011,"Solea solea",1,"Common sole",730,0
2011,"Solea solea",2,"Common sole",4630,18500
2011,"Solea solea",3,"Common sole",5959,35270
2011,"Solea solea",4,"Common sole",12052,72520
2011,"Sprattus sprattus",3,"Sprat",7880,0
2011,"Sprattus sprattus",4,"Sprat",397700,2660000
2011,"Squalus acanthias",3,"Spurdog",0,44900
2011,"Squatina squatina",3,"Angel shark",0,0
2011,"Trachurus picturatus",4,"Blue jack mackerel",2010,0
2011,"Trachurus trachurus",1,"Horse mackerel",21900,0
2011,"Trachurus trachurus",3,"Horse mackerel",221600,1460000
2011,"Trisopterus esmarkii",4,"Norway pout",6840,209000
2012,"Amblyraja radiata",4,"Starry ray",0,0
2012,"Ammodytes spp",4,"Sand eel",99601,711000
2012,"Aphanopus carbo",3,"Black scabbardfish",7.22,0
2012,"Argentina silus",3,"Greater silver smelt",36,0
2012,"Argentina silus",4,"Greater silver smelt",36790,0
2012,"Beryx spp",3,"Beryx spp",605,0
2012,"Brosme brosme",3,"Tusk",6850,0
2012,"Brosme brosme",4,"Tusk",18504,38500
2012,"Capros aper",3,"Boarfish",87400,2
2012,"Centrophorus squamosus",3,"Leafscale gulper shark",52,0
2012,"Cetorhinus maximus",3,"Basking shark",22,0
2012,"Chelidonichthys cuculus",3,"Red gurnard",3770,0
2012,"Clupea harengus",3,"Herring",487590,5187100
2012,"Clupea harengus",4,"Herring",1191500,9870000
2012,"Coryphaenoides rupestris",3,"Roundnose grenadier",9189,0
2012,"Coryphaenoides rupestris",4,"Roundnose grenadier",3821,0
2012,"Dalatias licha",3,"Kitefin shark",1,0
2012,"Dicentrarchus labrax",1,"European seabass",701,0
2012,"Dicentrarchus labrax",2,"European seabass",2550,0
2012,"Dicentrarchus labrax",3,"European seabass",4141,23300
2012,"Engraulis encrasicolus",1,"Anchovy",5590,0
2012,"Engraulis encrasicolus",3,"Anchovy",14400,98800
2012,"Eutrigla gurnardus",3,"Grey gurnard",8350,0
2012,"Gadus morhua",3,"Atlantic Cod",8640,17200
2012,"Gadus morhua",3,"Atlantic cod",41076,181990
2012,"Gadus morhua",4,"Atlantic cod",1060264,5633530.405
2012,"Galeorhinus galeus",3,"Tope shark",466,0
2012,"Galeus melastomus",1,"Blackmouth dogfish",1570,0
2012,"Galeus melastomus",3,"Blackmouth dogfish",0.02,0
2012,"Glyptocephalus cynoglossus",3,"Witch flounder",1950,0
2012,"Hoplostethus atlanticus",3,"Orange roughy",65,0
2012,"Lamna nasus",3,"Porbeagle shark",48,0
2012,"Lepidorhombus boscii",1,"Fourspotted megrim",1320,7510
2012,"Lepidorhombus spp",4,"Megrim spp",224,0
2012,"Lepidorhombus spp",4,"Megrim spp.",3190,0
2012,"Lepidorhombus whiffiagonis",1,"Megrim",293,1240
2012,"Lepidorhombus whiffiagonis",2,"Megrim",18100,61100
2012,"Leucoraja circularis",3,"Sandy ray",46.3,0
2012,"Leucoraja fullonica",3,"Shagreen ray",253,0
2012,"Leucoraja naevus",1,"Cuckoo ray",78.7,0
2012,"Leucoraja naevus",3,"Cuckoo ray",3390,0
2012,"Leucoraja naevus",4,"Cuckoo ray",117,0
2012,"Limanda limanda",4,"Dab",60990,1.18
2012,"Lophius budegassa",1,"Black bellied angler",1250,0
2012,"Lophius budegassa",2,"Black bellied angler",9890,0
2012,"Lophius piscatorius",1,"White anglerfish",1400,10500
2012,"Lophius piscatorius",2,"White anglerfish",30500,93800
2012,"Macrourus berglax",3,"Roughhead grenadier",3540,0
2012,"Mallotus villosus",4,"Capelin",847000,3590000
2012,"Melanogrammus aeglefinus",3,"Haddock",29542,82360
2012,"Melanogrammus aeglefinus",4,"Haddock",408756,1736310
2012,"Merlangius merlangus",1,"Whiting",1910,0
2012,"Merlangius merlangus",3,"Whiting",43900,392180
2012,"Merlangius merlangus",4,"Whiting",1381,8680
2012,"Merluccius merluccius",1,"Hake",16400,20500
2012,"Merluccius merluccius",2,"Hake",97900,289000
2012,"Micromesistius poutassou",3,"Blue whiting",376000,4950000
2012,"Microstomus kitt",3,"Lemon sole",0,0
2012,"Molva dypterygia",3,"Blue ling",4170,0
2012,"Molva dypterygia",4,"Blue ling",4900,0
2012,"Molva molva",3,"Ling",16200,0
2012,"Molva molva",4,"Ling",26660,53900
2012,"Mullus surmuletus",1,"Striped red mullet",2150,0
2012,"Mullus surmuletus",3,"Striped red mullet",726,0
2012,"Mustelus spp",3,"Smooth-hound",3340,0
2012,"Nephrops norvegicus",2,"Norway lobster",3530,0
2012,"Nephrops norvegicus",3,"Norway lobster",325,0
2012,"Nephrops norvegicus",4,"Norway lobster",56997.89,0
2012,"Pagellus bogaraveo",3,"Red seabream",257,0
2012,"Pagellus bogaraveo",4,"Red seabream",1030,0
2012,"Pandalus borealis",4,"Northern shrimp",33680,17901.48
2012,"Phycis blennoides",3,"Greater forkbeard",2640,0
2012,"Platichthys flesus",4,"European flounder",19910,0
2012,"Pleuronectes platessa",1,"European Plaice",251,0
2012,"Pleuronectes platessa",3,"European Plaice",9895,14991.24
2012,"Pleuronectes platessa",4,"European Plaice",146970,812641.25
2012,"Pollachius pollachius",1,"European pollack",1480,0
2012,"Pollachius pollachius",4,"European pollack",0,0
2012,"Pollachius virens",4,"Pollock",283400,1075000
2012,"Pollachius virens",4,"Pollock or saithe",51300,246000
2012,"Raja brachyura",1,"Blonde ray",165,0
2012,"Raja brachyura",3,"Blonde ray",1730,0
2012,"Raja brachyura",4,"Blonde ray",5.4,0
2012,"Raja clavata",1,"Thornback skate",764,0
2012,"Raja clavata",3,"Thornback skate",3473,0
2012,"Raja clavata",4,"Thornback skate",181,0
2012,"Raja microocellata",3,"Smalleyed ray",395.3,0
2012,"Raja montagui",1,"Spotted ray",110,0
2012,"Raja montagui",3,"Spotted ray",1803.9,0
2012,"Raja undulata",2,"Undulate ray",206,0
2012,"Raja undulata",3,"Undulate ray",2020,0
2012,"Reinhardtius hippoglossoides",4,"Greenland halibut",29320300,675000
2012,"Salmo trutta",4,"Sea trout",281,0
2012,"Sardina pilchardus",1,"European pilchard",54900,128000
2012,"Sardina pilchardus",2,"Sardine",30900,0
2012,"Sardina pilchardus",3,"Sardine",6310,0
2012,"Scomber scombrus",2,"Mackerel",892000,5250000
2012,"Scophthalmus maximus",4,"Turbot",549,0
2012,"Scophthalmus rhombus",3,"Brill",0,0
2012,"Scophthalmus rhombus",4,"Brill",31,0
2012,"Scyliorhinus canicula",1,"Lesser spotted dogfish",1100,0
2012,"Scyliorhinus canicula",2,"Lesser spotted dogfish",7190,0
2012,"Scyliorhinus canicula",3,"Lesser spotted dogfish",5400,0
2012,"Sebastes mentella",4,"Beaked Redfish",54210,0.54
2012,"Sebastes mentella",4,"Deepwater Redfish",11100,1150000
2012,"Sebastes norvegicus",4,"Golden Redfish",51120,555400
2012,"Solea solea",2,"Common sole",4320,16800
2012,"Solea solea",3,"Common sole",7131,32330
2012,"Solea solea",4,"Common sole",11958,53550
2012,"Sprattus sprattus",3,"Sprat",15870,0
2012,"Sprattus sprattus",4,"Sprat",327600,3090000
2012,"Squalus acanthias",3,"Spurdog",0,46200
2012,"Trachurus picturatus",4,"Blue jack mackerel",1470,0
2012,"Trachurus trachurus",1,"Horse mackerel",24900,0
2012,"Trachurus trachurus",3,"Horse mackerel",191400,1320000
2012,"Trisopterus esmarkii",4,"Norway pout",26900,128000
2013,"Amblyraja radiata",4,"Starry ray",0,0
2013,"Ammodytes spp",4,"Sand eel",276960,1022000
2013,"Aphanopus carbo",3,"Black scabbardfish",6.09,0
2013,"Argentina silus",3,"Greater silver smelt",1,0
2013,"Argentina silus",4,"Greater silver smelt",37050,0
2013,"Beryx spp",3,"Beryx spp",272,0
2013,"Brosme brosme",3,"Tusk",4670,0
2013,"Brosme brosme",4,"Tusk",14978,36600
2013,"Capros aper",3,"Boarfish",75400,1.52
2013,"Centrophorus squamosus",3,"Leafscale gulper shark",0,0
2013,"Cetorhinus maximus",3,"Basking shark",0.5,0
2013,"Chelidonichthys cuculus",3,"Red gurnard",4750,0
2013,"Clupea harengus",3,"Herring",558930,4884400
2013,"Clupea harengus",4,"Herring",1064800,9495000
2013,"Coryphaenoides rupestris",3,"Roundnose grenadier",3943,0
2013,"Coryphaenoides rupestris",4,"Roundnose grenadier",1911,0
2013,"Dalatias licha",3,"Kitefin shark",0,0
2013,"Dicentrarchus labrax",1,"European seabass",1050,0
2013,"Dicentrarchus labrax",2,"European seabass",2690,0
2013,"Dicentrarchus labrax",3,"European seabass",4190,20200
2013,"Engraulis encrasicolus",1,"Anchovy",5630,0
2013,"Engraulis encrasicolus",3,"Anchovy",14200,69200
2013,"Eutrigla gurnardus",3,"Grey gurnard",10200,0
2013,"Gadus morhua",3,"Atlantic Cod",6820,11500
2013,"Gadus morhua",3,"Atlantic cod",42058,231570
